sentence,label,class
"diarrhoea, nausea, vomiting, pancreatitis, increased transaminases, metabolic syndrome, weight gain, sedation, tremor, decreased sexual function, infertility and teratogenic [25] psychotic disorders first-generation antipsychotics (fga) e.g., chlorpromazine, haloperidol d2 antagonists: work by inhibiting dopaminergic neurotransmission [28] effective in the treatment and maintenance of schizophrenia, acute mania with psychotic symptoms, major depressive order with psychotic features, and delusional disorder [28] adverse effects are drug specific and include anticholinergic effects (dry mouth, blurry vision, tachycardia, constipation), sedation, distonias, weight gain, increased lipids, parkinsonism (tremor, rigidity, bradykinesia), akathisia tardive dyskinesia, sialorrhea, orthostatic hypotension, neuroleptic malignant syndrome, sexual disfunction, neutropenia/agranulocytosis, and myocarditis [29] second-generation antipsychotics (sga) e.g., quetiapine, aripiprazole serotonin-dopamine antagonists: work by blocking d2 dopamine receptors as well as serotonin receptor antagonist action [28] same clinical efficacy as fga, with the exception of clozapine, which has unique efficacy against treatment resistant schizophrenia [30] effective as an adjunctive therapy in treatment of an, increasing appetite and decreasing anxiety and ruminating thoughts involving body image and food [32] dizziness, orthostatic hypotension, hypercholesterolemia, hypertriglyceridemia, hyperglycaemia, weight gain, extra-pyramidal symptoms, dry mouth, hyperprolactinemia, and insomnia [32] antidepressants(ssris, snris, tcas, maois) defined aboveeffective as an adjunctive therapy in treatment of bn and bed, reducing the crisis of binge eating, purging phenomena and improving mood and anxiety [33] listed abovemood stabilizers e.g., topiramateblocks voltage gated sodium channels, enhances gaba-a receptor activity, reduces membrane depolarization by ampa/kainate receptors and is a weak inhibitor of carbonic anhydrase [34] shown efficacy in treatment of bn and bed, reducing the crisis of binge eating, purging phenomena and promoting weight loss (in overweight or obese patients) [33] paraesthesia, fatigue, cognitive problems, dizziness, somnolence, psychomotor slowing, memory/concentration difficulties, nervousness, confusion, weight loss [34] impulse control, addiction, and obsessive-compulsive disorders antidepressants e.g., ssris and clomipramine (tca)potently inhibit the reuptake of 5-ht effective as a monotherapy or as an augmentation agent in the treatment of impulsive (pg, km, ttm, ied and pyromania), addiction and compulsive disorders [35] [36] [37] [38] [39] listed above mood stabilisers e.g., olanzapine, carbamazepine defined above naltrexone non-specific competitive opioid antagonist with highest affinity for the mu-opioid receptors in the cns [39] nausea, vomiting, abdominal pain, decreased appetite, dizziness, lethargy, headaches and sleep disorders [40] personality disorders antidepressants (ssris, snris) defined above shown efficacy in the treatment of bpd [41, 42] listed above quetiapine naltrexone the incidence of mental health disorders is increasing globally, yet a fundamental understanding of the aetiology of mental health disease remains elusive.",0,Negative
we further have no information about the hormonal status of the patients before their covid-19 infection which does not allow any conclusion whether these rather low testosterone levels represent hypogonadal hypogonadism or decreased following sars-cov-2 related immune activation.our results indicate that men hospitalized due to covid-19 present with lower testosterone levels showing advanced immune activation and having high risk for an adverse clinical course and a poor prognosis.,0,Negative
"one serious adverse event attributed to azithromycin was reported (pseudomembranous colitis).a brazilian randomised clinical trial of hospitalised adults with known or suspected mild to moderate covid-19 randomly assigned 667 patients to usual care alone (n=227), usual care plus hydroxychloroquine (n=221), or usual care plus hydroxychloroquine and azithromycin (500 mg once a day for 7 days; n=227).",0,Negative
"found that the combination of ribavirin with lopinavir/ritonavir was associated with a significant increase in gastrointestinal disorders, thus suggesting that both antivirals should not be administered simultaneously in patients with covid-19 [78] .eslami et al., also observed that the most frequent adverse events in the ribavirin group were gastrointestinal in nature such as nausea, vomiting, diarrhoea, abdominal pain and bleeding [79] .in the study by tong et al., ribavirin was well tolerated, with anaemia being the most frequent side effect.",0,Negative
"a dose escalation of 500-12,000 mg of standardized curcumin was administered, and safety was assessed for 72 h, which showed 7 adverse events that were grade 1 (diarrhoea, rash, headache and yellow stool) according to national cancer institute, common toxicity criteria version 2.0.",0,Negative
"* presence of moderate covid-19 disease as defined by presence of pneumonia (clinical and radiological signs) with respiratory rate 15-30 per minute or spo 2 90-94% on room air.* exclusion criteria * people with renal or hepatic dysfunction (serum creatinine > 1.5 mg/dl and serum transaminase levels > 120 u/l) * people with clinical heart failure/known coronary artery disease * known cases of neoplasms or immunodeficiency syndromes * people receiving chemotherapy, immunosuppressive agents, steroids, or antiviral agents, or have received in the preceding 4 weeks * pregnant and lactating women * uncooperative patients (in the opinion of the investigator, if it is difficult to ensure patient cooperation during the study) cochrane database of systematic reviews* additional study outcomes * reduction in inflammatory markers at days 1, 5, and 10 * resolution of signs and symptoms of covid-19 at 3, 5, and 10 days * reason for awaiting classification: unclear study design and fulfilment of randomization criteria; author request sent (even though the term randomization is used, within the method section the study is described as 'cross-sectional;' additionally the definition of being symptom-free and the method of assuring symptom resolution at a certain day needs to be clarified); no response received from the author * date of publication: 15 october 2020 * sponsor/funding: no funding * inclusion criteria * age >= 18 years * laboratory-confirmed sars-cov-2 infection within the past 7 days or the presence of symptoms or physical examination signs providing high probability of covid-19 disease * must have adequate organ and marrow function measured within the last 6 months * must have >= 1 of the following high-risk features or clinical deterioration: hypertension, diabetes mellitus, moderate-to-severe copd, emphysema, cystic fibrosis, or asthma; people with cancer who have received any immunosuppressive drugs within 1 year from enrolment, sickle cell disease or thalassaemia, age >= 50 years, bmi >= 30, living in a nursing home or long-term facility, underlying serious heart condition as determined by the treating physician, immunocompromised person as defined by the treating physician or covid-19 telehealth treatment team * exclusion criteria * severe or life-threatening covid-19 * weight < 45 kg * pregnant or breastfeeding women * receiving dialysis or with creatinine clearance < 45 ml/minute * existing division of microbiology and infectious diseases toxicity scale for determining severity of adverse events grade >= 3 hepatic failure * previously documented moderate or severe retinopathy or macular degeneration * uncontrolled seizure disorder * prolonged qt, defined as qtc >= 470 mseconds for men and qtc >= 480 mseconds for women using bazett's formula * known allergy to artesunate, artemisia annua, hydroxychloroquine, macrolides, 4-aminoquinolines, camostat mesilate, or other agents to be used in the trial * currently receiving any study medications for other indications * concurrent use of medication that would cause drug-drug interactions * psychiatric illness/social situations that would limit compliance * severity of condition according to study definition: outpatients with mild or no symptoms * severity of condition according to who scale: 1 to 3 * co-morbidities: nr * virus detection performed at baseline (test-positive at baseline): nr, but rt-pcr positivity defined as inclusion criterion * inclusion criteria: diagnosis of acute severe respiratory syndrome due to sars-cov-2 coronavirus infection defined by rt-pcr; asymptomatic, or with mild symptoms who are taking outpatient treatment of the disease; signed informed consent * exclusion criteria: severe disease covid-19; positive to proof of infection by some other virus such as influenza h1n1, severe acute respiratory syndrome, etc.",0,Negative
"chloroquine, amiodarone, chlorpromazine, amitriptyline, and trimipramine are classified both as photosensitizing [3] and lysosomotropic [6] , however, they fail to trigger rash and pruritic papules in each individual.a clue to the possible trigger of agep has been given by observed cutaneous adverse effects during topical application of amitriptyline on skin suffering from atopic dermatitis (ad) [29] .",0,Negative
"initial laboratory tests showed severe metabolic acidosis with hyperkalemia and hyponatremia (ph 7.13, hco 3 -8.5 mmol/l, na + 123 mmol/l, k + 7.2 mmol/l, lactate 9.7 mmol/l), serum creatinine of 7.9 mg/dl, anuria, and elevated ck (peak value 3275 units/l) and myoglobin (persistently above 1000 units/l).the patient was then admitted in the intensive care unit with acute renal failure and neurological adverse effects due to pembrolizumab therapy.",0,Negative
all cases of a patient's withdrawal from the study must be documented in the case report form.patients who receive at least one dose of plitidepsin and withdraw from the study will be followed for at least 28 days after administration of the last dose of plitidepsin to follow up on possible open adverse events at withdrawal.patients who sign the study consent and are not randomised will be replaced.patients who discontinue study treatment before the end of the three proposed administrations for reasons other than >= grade 3 adverse events will be replaced.plitidepsin is licensed in australia for the treatment of multiple myeloma.safety information for plitidepsin is included in annex 7.plitidepsin is supplied as a powder for concentrate for solution for infusion at a concentration of 2 mg/vial.,0,Negative
"it was found that the studies conducted so far on the drugs for the treatment of covid-19 lack greater scientific rigor, especially the studies that had a positive outcome for chloroquine, hydroxychloroquine, and azithromycin, since the majority did not have the control group and, in the presence of a control group, there was no randomization, besides other problems such as the small size of the groups.although some drugs have a positive response in the fight against sars-cov2, the doses must be higher than those normally used for other diseases, which can cause serious adverse effects, some of which are fatal, especially in critically ill patients with covid-19 (das et al.",0,Negative
"in fact, even prior to the covid-19 pandemic, preadmission metformin use was found to be associated with reduced mortality in medical and surgical intensive care patients with t2d (23) .while diabetes has been recognized universally as one of the major comorbidities adversely affecting covid-19 outcome, the factors responsible for this phenomenon are not well understood.",0,Negative
"any adverse events reported in the studies included in the evidence review (3, 5, 7, 8) were acute kidney injury, acute respiratory failure, increased alanine aminotransferase level, anemia, increased aspartate aminotransferase level, increased blood glucose level, increased blood lipid levels, increased blood urea nitrogen level, constipation, hyperlipidemia, hypoalbuminemia, hypokalemia, hypotension, insomnia, nausea, increased neutrophil count, rash, respiratory failure, increased serum potassium level, reduced serum sodium level, thrombocytopenia, increased total bilirubin level, vomiting, and increased leukocyte count.",0,Negative
"mechanistic and large epidemiologic studies using big data sources with omics data exploring genetic determinants of risk and disease severity as well as large rcts are necessary to delineate pathways connecting chronic subclinical metainflammation with adverse covid-19 outcomes and establish the ideal preventive therapeutic approaches for patients with obesity.abbreviations ace, angiotensin-converting enzyme; aha, american heart association; aki, acute lung injury; ali, acute lung injury; alt, alanine transaminase; arbs, angiotensin receptor blockers; ards, acute respiratory distress syndrome; at1r, angiotensin 1 receptor; at2, alveolar type 2 pneumocytes; bmi, body mass index; cfr, case fatality rate; ci, confidence interval; ckd, chronic kidney disease; copd, chronic obstructive pulmonary disease; covid-19, coronavirus disease 2019; cvd, cardiovascular disease; cxcl10, cxc-chemokine ligand 10; dka, diabetic ketoacidosis; dpp-4, dipeptidyl-dipeptidase 4; fda, food and drug administration; fev1, forced expiratory volume in one second; glp-1, glucagon-like peptide-1; icu, intensive care unit; ifn, interferon; ifr, infection fatality rate; il, interleukin; imv, invasive mechanical ventilation; lps, lipopolysaccharide; mafld, metabolic associated fatty liver disease; mas, macrophage activation syndrome; mcp-1, monocyte chemoattractant protein-1; mers, middle east respiratory syndrome; mip1-a, macrophage inflammatory protein 1-a; nhanes, national health and nutrition examination survey; nf-kb, nuclear factor-kb; nk, natural killer; nlrp3, nod-like receptor family pyrin domain containing 3; no, nitric oxide; nos, nitric oxide synthase; or, odds ratio; pai-1, plasminogen activator inhibitor-1; pi3k, phosphoinositide 3-kinase; raas, renin-angiotensin-aldosterone system; rcts, randomized controlled trials; rr, relative risk; sars-cov-2, severe acute respiratory syndrome coronavirus 2; sd, standard deviation; sglt-2 inhibitors, sodium glucose transporter-2 inhibitors; t2dm, type 2 diabetes mellitus; tlrs, toll-like receptors; tnf-a, tumor necrosis factor-a; vegf, vascular endothelial growth factor; wc, waist circumference; who, world health organization; whr, waist-to-hip ratio funding professor c.m.",0,Negative
"therefore, caution should be used when administering drugs that are metabolized by the cyp2c8 system [42, 43] .in general, favipiravir is tolerated well, but its common adverse effects may be listed as gastrointestinal adverse effects, such as mild to moderate diarrhea, nausea, increased gas, elevated uric acid, decreased neutrophil counts, and increased aspartate aminotransferase (ast), alanine transaminase (alt), and blood triglycerides [40, 44] .favipiravir undergoes metabolization to its inactive metabolite m1 with aldehyde oxidase and xanthine oxidase to finally be excreted in the urine.",0,Negative
"these included bmi, waist circumference, hip/ waist ratio, heart rate, diastolic and systolic blood pressure (bp), vitamin b12, glycosylated haemoglobin (hba1c), fasting glucose and insulin, homeostatic model assessment (homa), highdensity lipoprotein (hdl) and low-density lipoprotein (ldl) cholesterol and triglycerides.other outcomes were measures of hepatic fibrosis including the non-alcoholic fatty liver disease (nafld) fibrosis score or fibrosis-4 (fib-4) index.we also compared the placebo and metformin groups in terms of changes in positive and negative syndrome scale (panss) and global assessment of functioning (gaf) scores from baseline to endpoint, as well as adverse drug reactions (adrs; saftee -a systematic adr checklist) 26 height was recorded at the screening assessment.weight was recorded to the nearest 0.1 kg using calibrated scales with participants wearing light clothing, no shoes and after emptying their bladder.",0,Negative
"tacrolimus and ciclosporin are also sometimes used within the management (as second-line therapy) of rheumatoid arthritis, ulcerative colitis, atopic dermatitis and when conventional therapy may be ineffective or inappropriate e.g.",0,Negative
"similarly in animal studies, colchicine was found to mitigate renal fibrosis in a murine unilateral ureteral obstruction model [545] .negative: colchicine was associated with kidney injury in a diabetic with stage 4 chronic kidney disease and a renal transplant recipient [546] .corticosteroids negative: in a retrospective study, corticosteroids were associated with severe adverse effects (e.g., all-cause mortality, severe or fatal infection, gastrointestinal hemorrhage or gastrointestinal perforation, new-onset diabetes mellitus or cataract, fatal/nonfatal myocardial infarction, fatal/nonfatal stroke, and heart failure) in patients with iga nephropathy [547] .positive: dex appears to reduce the incidence of severe aki after cardiac surgery, notably in patients with advanced ckd [548] .",0,Negative
"as for the patients, 66%(27/41) had at least one coexisting illness; 19 patients with hypertension, 10 patients with diabetes mellitus, 10 patients with ckd, and 3 patients with respiratory disease (table 1) .during this trial, we detected 55 incidences of favipiravir-associated adverse events.",0,Negative
"furthermore, as indicated in the cytotoxicity assay, the potential adverse effects of pralatrexate on normal cells and its exact moa against sars-cov-2 must also be explored further in suitable animal models.with therapeutic benefits and limits, the fda-approved anticancer drug pralatrexate can be repurposed upon approval of its pharmacological effects to equip ourselves against co-vid-19 in the influenza virus-circulating winter season, and it may also reduce health risks in cancer patients, providing dual beneficial effects.",0,Negative
"diarrhea was managed with racecadotril and iv fluids in patients with moderate diarrhea and terlipressin was continued.conclusions in our everyday clinical practice, terlipressin related adverse events are common, but often reversible.",0,Negative
"the recently approved janssen covid-19 vaccine (which also uses an adenovirus vector) includes vtes in its risk management plan [33] .tts is an extremely rare but increasingly recognized serious adverse event related to unusual sites of thromboembolism, such as cerebral venous sinus thrombosis (cvst) or abdominal thromboses (splanchnic, mesenteric or portal vein), all of which are associated with thrombocytopenia.",0,Negative
"our hypothesis was that the combination of tpa with heparin would improve oxygenation and reduce adverse outcomes compared to standard of care.study design: the stars trial was a vanguard, phase 2a, multicenter, open-label, rapidly adaptive, pragmatic, randomized, controlled clinical trial designed to evaluate whether different dosing regimens of tpa with heparin administered to patients with covid-19 associated advanced respiratory failure could improve pulmonary function within 48 hours (compared to immediately before its administration) without a significant increase in life-threatening hemorrhage.",0,Negative
"gastrointestinal adverse events reported in all studies were constipation (4-6% of patients with ibd, 13-16% of patients with ckd treated with ferric maltol for up to 52-64 weeks, 2-4% of patients with ibd or ckd given placebo for 12-16 weeks, and <1% of patients with ibd treated with ferric carboxymaltose), diarrhea (5-14%, 8-13%, 9-10%, and <1%, respectively), nausea (5%, 12-13%, 2-9%, and 2%, respectively), and vomiting (<1-4%, 0-8%, 3% (ibd only), and 3%, respectively).",0,Negative
"cardiac disorders (including atrial fibrillation, supraventricular arrhythmias and other nonspecific arrhythmias) as adverse events occurred in 2.6% of the patients treated with remdesivir.",0,Negative
